[14:53:06] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[14:53:06] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[14:53:06] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[14:53:06] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[14:53:06] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2860 for Minecraft 1.12.2 loading
[14:53:06] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_311, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_311
[14:53:06] [main/DEBUG] [FML]: Java classpath at launch is:
[14:53:06] [main/DEBUG] [FML]:     server.jar
[14:53:06] [main/DEBUG] [FML]: Java library path at launch is:
[14:53:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\Sun\Java\bin
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS
[14:53:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[14:53:06] [main/DEBUG] [FML]:     C:\Windows\system32
[14:53:06] [main/DEBUG] [FML]:     C:\Windows
[14:53:06] [main/DEBUG] [FML]:     C:\Windows\System32\Wbem
[14:53:06] [main/DEBUG] [FML]:     C:\Windows\System32\WindowsPowerShell\v1.0\
[14:53:06] [main/DEBUG] [FML]:     C:\Windows\System32\OpenSSH\
[14:53:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[14:53:06] [main/DEBUG] [FML]:     C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR
[14:53:06] [main/DEBUG] [FML]:     C:\dev\src\Git\cmd
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[14:53:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[14:53:06] [main/DEBUG] [FML]:     C:\dev\compilers\python\python_39\Scripts\
[14:53:06] [main/DEBUG] [FML]:     C:\dev\compilers\python\python_39\
[14:53:06] [main/DEBUG] [FML]:     C:\Users\PC\AppData\Local\Microsoft\WindowsApps
[14:53:06] [main/DEBUG] [FML]:     C:\dev\ides\PyCharm Community Edition 2021.1.3\bin
[14:53:06] [main/DEBUG] [FML]:     
[14:53:06] [main/DEBUG] [FML]:     C:\dev\compilers\python\python_39_selenium\chromedriver.exe
[14:53:06] [main/DEBUG] [FML]:     C:\Users\PC\AppData\Local\Google\Cloud SDK\google-cloud-sdk\bin
[14:53:06] [main/DEBUG] [FML]:     .
[14:53:06] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: C:\Users\PC\Desktop\Server\libraries
[14:53:06] [main/DEBUG] [FML]: Cleaning up mods folder: .\mods
[14:53:06] [main/DEBUG] [FML]: Examining file: # LibLoader.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: AdHooks-1.12.2-3.3.1.0-build.0626.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Advanced-Fishing-1.12.2-1.3.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: AIReducer-1.12.2-0.3.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: alcatrazcore-1.0.4.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: antiqueatlas-1.12.2-4.6.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: anvilpatch-1.1.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Aquaculture-1.12.2-1.6.8.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: armorunder-mc1.12.2-1.0.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: astikorcarts-1.12.2-0.1.2.8.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: AutoRegLib-1.3-32.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: base-1.12.2-3.14.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BattleTowers-1.12.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Baubles-1.12-1.5.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BedBreakBegone-1.0.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: bettercaves-1.12.2-2.0.4.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BetterCombat-1.12.2-1.5.6.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BetterFoliage-MC1.12-2.3.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BetterMineshaftsForge-1.12.2-2.2.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: betternether-0.1.8.6.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BetterQuesting-3.5.329.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BetterTabs-1.0.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: better_survival-1.4.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BlockOverlayFix-1.12.2-1.0.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Bloodmoon-MC1.12.2-1.5.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BNBGamingLib-1.12.2-2.17.6.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Born In A Barn V1.8-1.12-1.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Bountiful+Baubles-1.12.2-0.1.8.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Bountiful-1.12.2-2.2.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BQTweaker-1.3.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: BQ_Multiblock_Structure_Integration-1.0.7.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: callablehorses-1.12.2-1.1.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: carrotslib-mc1.12.2-1.0.0b1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: carryon-1.12.2-1.12.6.20.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Charm-1.12.2-1.4.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: ChunkAnimator-MC1.12-1.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: classyhats-1.6.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CollisionDamage-1.2.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: comforts-1.12.2-1.4.1.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CompatSkills-1.12.2-1.17.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: ContentTweaker-1.12.2-4.10.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: Controlling-3.0.8.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CoralReef-2.5-1.12.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: corpsecomplex-1.12.2-1.0.12.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: craftablechainmail-1.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CraftableHorseArmour-1.3.0-1.12.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CraftTweaker2-1.12-4.1.20.674.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CreativeCore_v1.10.70_mc1.12.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: CustomMainMenu-MC1.12.2-2.0.9.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: defiledlands-1.12.2-1.4.3.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: disenchanter[1.12]1.8.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: DoomlikeDungeons-1.14.11-MC1.12.2.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: DynamicSurroundings-1.12.2-3.6.2.1.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar
[14:53:06] [main/DEBUG] [FML]: Making maven link for org.orecruncher:DynamicSurroundingsHuds:1.12.2-3.6.0.0 in memory to C:\Users\PC\Desktop\Server\.\mods\DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar.
[14:53:06] [main/DEBUG] [FML]: Examining file: DynamicTrees-1.12.2-0.9.27.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: dynamictreesdefiledlands-1.12.2-1.0.0.jar
[14:53:06] [main/DEBUG] [FML]: Examining file: DynamicTreesTraverse-1.12.2-2.1.jar
